Mass,RT,SXT-col-12h+13c6-phe-1,SXT-col-12h+13c6-phe-2,SXT-col-12h+13c6-phe-3,SXT-col-ck-1,SXT-col-ck-2,SXT-col-ck-3
396.1267,2.82,648319.4687,762032.8763,617916.9664,746926.2016,866309.5028,809915.3498
173.105,4.05,1654154.506,1876397.317,1828660.95,2961414.124,2780968.472,2936533.88
792.5021,17.92,2036192.067,2240140.98,2219579.538,1951859.27,1978892.371,1834150.215
444.2542,17.8,1144267.217,385134.0063,381548.3499,3094048.851,2539852.003,2723261.355
111.0322,2.36,2654782.169,2577298.932,2321812.165,2361336.112,2210438.899,2332051.195
870.5007,14.37,17355.06803,1,1,1,355652.7996,1
504.2845,20.46,1,1,1,1,1,1
424.1673,3.17,534968.311,620363.2175,624099.6657,1,1,1122.400648
176.0322,1,7712.968982,1256.808088,6256.947688,18740.19466,22727.93965,19644.35183
471.1323,6.24,501760.1141,513042.7611,582146.1107,1,1,1
495.1089,3.1,2345909.649,2842564.106,3034892.71,2578131.6,2090974.715,2308747.444
333.1107,7.58,347505.5332,697179.2046,742615.867,1909414.088,2015722.018,2819808.002
546.0574,4.54,940795.053,2545469.694,2909763.707,2678342.832,2733255.488,1194665.955
285.0943,3.46,838491.7849,1060259.698,989412.3758,1,292.7093066,1
154.0031,12.68,380417.36,853350.1953,1147366.222,2980635.082,2018125.153,2561697.501
504.2459,16.38,35121.71699,36614.10241,39125.69229,32869.28926,47611.89319,56342.49656
858.2539,6.79,2601587.862,1504582.104,1607061.693,1219238.711,1548581.591,1441864.184
138.0318,2.85,357810.0965,389241.0091,409518.9685,240615.2068,315658.1619,281089.7139
880.4845,13.7,1,1,1,2562539.594,2293249.089,2465907.016
636.423,16.4,1329139.431,1489131.794,1444558.259,1668403.783,2018705.84,1921257.488
886.4364,12.67,278756.6318,734175.6794,1101259.456,2587569.086,1888544.756,2336357.374
254.2243,14.06,1,1,1,715463.9145,1204308.147,980675.0952
894.4988,16.4,1,1,1,1,1,1
129.0426,1.24,870422.0961,997295.0138,784073.1453,2724379.121,1116335.478,1961315.694
466.0794,14.35,1,1,1,1,837689.2355,1
267.0783,11.83,43222.53954,73829.62234,72661.75289,489636.5496,408117.4978,448937.3093
453.2844,13.13,1836452.848,2217612.1,2128016.172,719317.077,402570.6571,547429.5846
886.4956,13.51,1,1,1,1,1,1
552.1838,3.86,1989680.879,1746412.366,1745651.541,2183950.464,2605909.967,2411365.017
177.0188,3.27,277719.7024,291916.7192,271980.2958,624022.8218,805204.9186,703196.0744
941.5742,13.18,5349.609156,1,204592.8136,2510599.701,1816012.376,2177435.753
918.4988,15.14,2729466.505,3933196.826,1,1,1,1
716.4791,5.28,1966600.357,1926390.545,1879130.025,2524631.34,2425776.601,2518667.358
565.3373,12.57,1447755.347,1830288.165,1948275.149,2468470.439,1722354.694,2062596.226
146.0696,0.88,1040652.957,1202926.87,1270018.465,1159621.255,929321.9357,1036745.771
378.1258,2.59,807645.7991,893876.9779,859152.245,1,1,1
566.1993,4.77,922618.6271,961130.1253,1056623.142,1119887.726,1400660.599,1291696.085
992.5862,11.6,933471.7173,1181247.827,1029258.078,2297100.419,957783.3157,1703466.8
112.0163,1,1,90754.83456,245022.2364,105538.9905,12846.19977,109632.2486
394.2115,11.98,1154.212888,1,3841.293009,1,1,18551.97882
405.1123,0.92,1245367.244,1129785.463,850416.5388,888525.4017,837176.0267,818508.906
254.2243,14.2,325008.9426,443665.3918,660311.6654,220007.6174,729957.0221,289418.6444
979.5523,13.27,83659.42097,353249.9049,1006222.909,2367960.7,1267771.709,1862018.602
445.1438,7.34,1337355.95,1601225.49,1513421.284,1595740.461,1402040.429,1498178.801
406.1208,3.27,32390.82658,401947.7505,233973.7017,180439.4655,149421.5752,221115.2548
900.5285,15.29,1,1,1,98341.25062,94019.59025,104218.4095
982.5851,17.96,1351791.678,1426451.63,1459128.038,1254005.499,1206456.398,1109617.86
533.3105,13.27,2179607.096,2316906.015,1227450.861,2118568.763,943729.2937,1499596.458
286.0687,2.83,872866.6191,1118098.678,1060521.624,1224511.622,1290764.182,1256913.33
378.1081,2.93,1098703.777,1205619.307,1309999.608,1678487.787,1712960.983,1683445.225
466.269,14.35,1,1,1,1,525662.8178,1
996.617,12.33,928351.0052,1124477.056,1020802.093,2239288.38,1042746.704,1719917.905
273.0851,2.36,1924130.999,1875561.765,1691423.081,1700747.039,1544626.322,1647781.556
116.0112,1.06,765857.4857,954621.6752,979547.7959,439959.8008,463549.8046,458319.8607
170.0673,2.59,835688.3748,847650.9671,1036178.147,1,1,1
482.2633,13.85,983821.1371,1018691.781,983189.2242,1978657.79,934603.2117,1398786.387
292.2035,12.56,171603.5272,237264.8042,205571.8582,277310.2446,183240.2252,213942.5642
820.5328,19.3,1490318.793,1700463.071,1815050.02,1153527.838,1092172.711,799174.4733
448.0997,5.98,593727.0132,1408712.117,1618697.959,2007191.915,1637655.474,1826147.438
548.1831,14.52,1,1,1,668823.6179,1,1590371.95
475.2696,11.8,848575.5681,1385375.951,1447716.025,2080890.132,744334.1496,1276553.191
637.1394,7.43,426173.0001,786530.0562,592757.329,1203484.848,1118946.919,1201302.327
