leixing,Mass,RT,SXT-col-12h+13c6-phe-1,SXT-col-12h+13c6-phe-2,SXT-col-12h+13c6-phe-3,SXT-col-ck-1,SXT-col-ck-2,SXT-col-ck-3
1.0,423.1102,3.27,10514.86418,21219.22654,9540.740114,1.0,1.0,1.0
0.0,417.0908,3.27,204898.3147,157345.771,212664.0351,337259.9608,395343.7724,354615.8835
1.0,752.1469,3.99,17193.67584,1656.116994,11503.64204,1.0,1.0,1.0
0.0,746.127,4.0,317950.7765,149707.5761,136560.8101,280687.2801,289347.6425,247066.6813
1.0,840.1643,3.05,33154.17972,32292.75533,27100.58939,1.0,1.0,1.0
0.0,834.1452,3.06,96953.48485,96116.34346,86632.10274,90488.83311,66248.08019,75687.11655
1.0,922.3032,4.3,29780.45138,25597.96922,31655.53052,1.0,1.0,1.0
0.0,916.2836,4.29,249018.8232,192942.7222,280490.0092,227210.2291,179656.6352,193065.7925
1.0,636.154,4.31,16180.48873,20112.40006,22018.01432,1.0,1.0,1.0
0.0,630.1338,4.31,170456.2077,184138.9135,136923.1972,219092.3099,206365.1088,202748.835
1.0,216.1092,3.17,17623.39081,18712.0478,17571.45331,1.0,1.0,1.0
0.0,210.0888,3.17,141850.0791,154424.7295,157398.9823,218465.2336,201794.3369,207823.6296
1.0,658.2568,3.8,26394.41543,29740.19654,27794.54909,1.0,1.0,1.0
0.0,652.2365,3.8,114191.4451,117769.6691,134580.0204,121177.1733,151937.4757,115798.5054
1.0,586.1981,6.48,1.0,9571.814893,11896.63516,1.0,1.0,1.0
0.0,580.1779,6.48,33382.9268,31399.1513,29735.48347,22074.51518,31212.78595,29939.91925
1.0,396.1509,6.79,8507.559325,6586.469063,5566.221329,1.0,1.0,1.0
0.0,390.1309,6.79,182726.1863,224612.7031,241947.8731,183533.515,217429.7213,227128.8669
1.0,586.1624,4.07,13573.68883,3272.242028,1226.99489,1.0,1.0,1.0
0.0,580.1416,4.07,135960.0491,147992.2674,172586.4434,209294.7628,185298.0992,197376.5142
1.0,564.2054,4.8,15566.32352,19454.7724,21535.00255,1.0,1.0,1.0
0.0,558.1851,4.8,91293.54383,78953.11774,99707.1386,117361.136,145365.9339,131261.6388
1.0,392.1414,3.61,20803.67457,33734.46332,41312.29201,1.0,1.0,1.0
0.0,386.1211,3.6,408684.1827,262315.3143,376259.2591,305633.7052,251547.2716,277737.3376
1.0,654.1872,4.67,9294.729814,11579.29279,15176.6192,1.0,1.0,1043.149015
0.0,648.1667,4.67,286339.2397,348623.0287,291074.5832,215741.3422,494955.2461,393940.2099
1.0,613.1878,7.7,19239.41093,26229.49895,22851.77131,1.0,1.0,631.7658174
0.0,607.1688,7.7,8771.578456,13056.24769,16023.2864,20641.46593,19257.97293,23616.91456
1.0,759.2976,3.55,18017.21445,12286.87763,6894.327336,1.0,1.0,1.0
0.0,753.2771,3.55,25546.01441,25201.82518,34597.25761,33211.4947,34852.2855,32465.65542
1.0,782.2117,4.26,20424.99099,24932.41452,28671.37213,1.0,1.0,1.0
0.0,776.1917,4.26,120384.7474,134434.4298,140427.857,127234.9963,121314.0376,138643.5286
1.0,202.0936,3.01,3516.723105,7999.653933,7630.170036,1.0,1.0,1.0
0.0,196.0732,3.02,46812.5983,56648.14576,61137.13114,99182.8251,95645.92688,89712.66021
